Description,Blue 1,Blue 2,Blue 3,Red 1,Red 2,Red 3
Qualification 51,6144 (I04),5872 (I13),2403 (G02),2930 (H10),7621 (H21),7840 (H16)
Qualification 52,3478 (H08),3933 (I07),1700 (I05),4125 (G13),7494 (H20),3937 (I10)
Qualification 53,589 (I06),4513 (H07),5716 (H19),254 (G01),7753 (G07),7528 (I21)
Qualification 54,2733 (G04),5012 (H05),7277 (G11),6672 (H09),649 (G06),6986 (I19)
Qualification 55,6391 (H12),6315 (I24),2383 (G03),2839 (I09),5857 (G21),4451 (I23)
Qualification 56,6025 (I22),3196 (G20),4613 (H04),5805 (G22),3284 (I20),3310 (I17)
Qualification 57,6831 (I16),1730 (H02),3478 (H08),7724 (G19),1868 (I08),1421 (G08)
Qualification 58,5468 (H13),2582 (G16),7494 (H20),7753 (G07),1094 (G09),3966 (H17)
Qualification 59,4125 (G13),6377 (H24),1726 (H22),7528 (I21),6672 (H09),1683 (G14)
Qualification 60,3933 (I07),948 (G24),5716 (H19),5872 (I13),6321 (H14),589 (I06)
Qualification 61,2403 (G02),6986 (I19),4513 (H07),3310 (I17),5930 (G17),1619 (G18)
Qualification 62,4451 (I23),6144 (I04),1700 (I05),7277 (G11),3196 (G20),5805 (G22)
Qualification 63,6579 (I11),4401 (H01),7661 (H03),6995 (H23),6072 (I14),2383 (G03)
Qualification 64,5857 (G21),7840 (H16),1622 (G15),4522 (G10),2556 (I18),6957 (H06)
Qualification 65,254 (G01),2930 (H10),2839 (I09),5993 (H15),7308 (G05),5012 (H05)
Qualification 66,6315 (I24),7464 (I03),5199 (H18),5754 (I12),3035 (I15),6025 (I22)
Qualification 67,6391 (H12),7621 (H21),3937 (I10),649 (G06),3284 (I20),2733 (G04)
Qualification 68,6144 (I04),5930 (G17),1683 (G14),2582 (G16),1868 (I08),4401 (H01)
Qualification 69,1619 (G18),3478 (H08),6321 (H14),7840 (H16),5805 (G22),6672 (H09)
Qualification 70,1700 (I05),3310 (I17),5857 (G21),7753 (G07),6579 (I11),5872 (I13)
Qualification 71,7464 (I03),5993 (H15),7277 (G11),7661 (H03),7494 (H20),4522 (G10)
Qualification 72,589 (I06),3937 (I10),5754 (I12),6377 (H24),2839 (I09),2403 (G02)
Qualification 73,1094 (G09),6831 (I16),5199 (H18),2930 (H10),5716 (H19),6995 (H23)
Qualification 74,948 (G24),3966 (H17),7724 (G19),5012 (H05),4451 (I23),1622 (G15)
Qualification 75,6957 (H06),2383 (G03),5468 (H13),6986 (I19),6391 (H12),7528 (I21)
Qualification 76,6072 (I14),7308 (G05),4125 (G13),4613 (H04),1726 (H22),2733 (G04)
Qualification 77,649 (G06),2556 (I18),6315 (I24),3284 (I20),1421 (G08),254 (G01)
Qualification 78,4513 (H07),7621 (H21),3933 (I07),3196 (G20),1730 (H02),3035 (I15)
Qualification 79,5930 (G17),7724 (G19),6579 (I11),6025 (I22),7277 (G11),6672 (H09)
Qualification 80,5716 (H19),7840 (H16),5993 (H15),1683 (G14),4451 (I23),6391 (H12)
Qualification 81,2582 (G16),5857 (G21),2733 (G04),589 (I06),1868 (I08),3478 (H08)
Qualification 82,3937 (I10),1619 (G18),649 (G06),7308 (G05),6831 (I16),1726 (H22)
Qualification 83,6144 (I04),3310 (I17),7753 (G07),5012 (H05),2383 (G03),1730 (H02)
Qualification 84,2930 (H10),7528 (I21),6321 (H14),4613 (H04),1700 (I05),3966 (H17)
Qualification 85,254 (G01),1622 (G15),2403 (G02),7464 (I03),6072 (I14),3196 (G20)
Qualification 86,4522 (G10),5468 (H13),6995 (H23),3933 (I07),5754 (I12),3284 (I20)
Qualification 87,1421 (G08),2839 (I09),7621 (H21),5199 (H18),6986 (I19),7494 (H20)
Qualification 88,6377 (H24),5805 (G22),3035 (I15),2556 (I18),948 (G24),4401 (H01)
Qualification 89,5872 (I13),6957 (H06),4513 (H07),6025 (I22),6315 (I24),7661 (H03)
Qualification 90,1094 (G09),649 (G06),254 (G01),6321 (H14),1700 (I05),4125 (G13)
Qualification 91,7528 (I21),5754 (I12),3310 (I17),2582 (G16),5993 (H15),3478 (H08)
Qualification 92,7753 (G07),7724 (G19),2733 (G04),1619 (G18),6995 (H23),3196 (G20)
Qualification 93,2556 (I18),6391 (H12),4613 (H04),3966 (H17),3933 (I07),6831 (I16)
Qualification 94,1683 (G14),6025 (I22),7308 (G05),2383 (G03),6986 (I19),6144 (I04)
Qualification 95,6579 (I11),7840 (H16),6377 (H24),2839 (I09),7464 (I03),1730 (H02)
Qualification 96,5199 (H18),5805 (G22),5872 (I13),3937 (I10),5012 (H05),2403 (G02)
Qualification 97,4125 (G13),948 (G24),5857 (G21),7621 (H21),5930 (G17),7661 (H03)
Qualification 98,5716 (H19),7277 (G11),3035 (I15),6957 (H06),1622 (G15),1726 (H22)
Qualification 99,3284 (I20),6672 (H09),1868 (I08),1094 (G09),7494 (H20),4513 (H07)
Qualification 100,4451 (I23),589 (I06),5468 (H13),6072 (I14),1421 (G08),2930 (H10)
Qualification 101,4401 (H01),3937 (I10),3966 (H17),6315 (I24),4522 (G10),3310 (I17)
Qualification 102,6831 (I16),7661 (H03),6321 (H14),2733 (G04),6144 (I04),6377 (H24)
Qualification 103,6957 (H06),5930 (G17),948 (G24),3478 (H08),649 (G06),5199 (H18)
Qualification 104,1683 (G14),5857 (G21),4613 (H04),7724 (G19),2403 (G02),1094 (G09)
Qualification 105,6025 (I22),254 (G01),6986 (I19),1868 (I08),4451 (I23),3933 (I07)
Qualification 106,7494 (H20),6315 (I24),7308 (G05),6995 (H23),7528 (I21),1622 (G15)
Qualification 107,6579 (I11),5805 (G22),5993 (H15),5468 (H13),3035 (I15),1726 (H22)
Qualification 108,1421 (G08),7840 (H16),6391 (H12),6072 (I14),7277 (G11),4513 (H07)
Qualification 109,2582 (G16),2839 (I09),7753 (G07),3284 (I20),4522 (G10),2930 (H10)
Qualification 110,5012 (H05),4125 (G13),1619 (G18),5716 (H19),2556 (I18),1730 (H02)
Qualification 111,7621 (H21),7464 (I03),6672 (H09),1700 (I05),2383 (G03),589 (I06)
Qualification 112,5872 (I13),5754 (I12),7494 (H20),3196 (G20),4401 (H01),6986 (I19)
