Description,Blue 1,Blue 2,Blue 3,Red 1,Red 2,Red 3
Qualification 62,2637 (H25),6934 (I46),4020 (G36),6988 (H43),7451 (H31),3616 (I43)
Qualification 63,2710 (I51),3476 (H28),2158 (G46),5022 (H38),7427 (H40),4192 (G32)
Qualification 64,6838 (I31),2441 (H45),3663 (I30),6485 (H35),691 (H48),5700 (G38)
Qualification 65,3946 (G48),3834 (H50),3824 (H41),6704 (I38),2992 (H29),4013 (I28)
Qualification 66,4087 (I26),5013 (I29),4043 (G28),2046 (G34),1477 (H36),6814 (I49)
Qualification 67,4550 (H27),7787 (I41),3794 (G26),2714 (I27),4183 (G44),1311 (I48)
Qualification 68,2357 (I47),1987 (H42),6413 (I50),832 (G50),5803 (I42),7635 (I35)
Qualification 69,6506 (H34),4020 (G36),744 (H44),7443 (H52),2441 (H45),7607 (G30)
Qualification 70,7461 (H30),1425 (I52),6919 (I36),6485 (H35),3616 (I43),3834 (H50)
Qualification 71,4192 (G32),4910 (G52),3635 (H26),4043 (G28),2992 (H29),1072 (H51)
Qualification 72,3663 (I30),6814 (I49),7787 (I41),7447 (I25),4499 (H46),7427 (H40)
Qualification 73,1311 (I48),6704 (I38),6934 (I46),2357 (I47),5700 (G38),59 (I44)
Qualification 74,6885 (I37),7121 (G42),4183 (G44),1987 (H42),7433 (H49),2438 (I32)
Qualification 75,3476 (H28),6064 (I34),6988 (H43),2122 (H33),5803 (I42),2714 (I27)
Qualification 76,4013 (I28),5013 (I29),5887 (H47),7451 (H31),2710 (I51),3735 (I39)
Qualification 77,2046 (G34),1671 (I33),3946 (G48),4063 (I40),832 (G50),2637 (H25)
Qualification 78,4550 (H27),5022 (H38),4087 (I26),6413 (I50),691 (H48),2976 (I45)
Qualification 79,7635 (I35),3794 (G26),1899 (H32),6907 (H37),2158 (G46),3824 (H41)
Qualification 80,6838 (I31),7447 (I25),1311 (I48),1477 (H36),6934 (I46),7461 (H30)
Qualification 81,3476 (H28),4183 (G44),6704 (I38),3663 (I30),744 (H44),7443 (H52)
Qualification 82,1671 (I33),5013 (I29),2438 (I32),1425 (I52),6988 (H43),59 (I44)
Qualification 83,3616 (I43),2122 (H33),2046 (G34),5022 (H38),3946 (G48),691 (H48)
Qualification 84,6413 (I50),1072 (H51),4550 (H27),7787 (I41),2158 (G46),6064 (I34)
Qualification 85,4020 (G36),3735 (I39),4043 (G28),3834 (H50),6506 (H34),4499 (H46)
Qualification 86,4063 (I40),6814 (I49),7433 (H49),4192 (G32),5803 (I42),2357 (I47)
Qualification 87,6907 (H37),2714 (I27),1987 (H42),7427 (H40),3824 (H41),6485 (H35)
Qualification 88,832 (G50),7121 (G42),1477 (H36),2710 (I51),7607 (G30),4013 (I28)
Qualification 89,5700 (G38),6885 (I37),2637 (H25),6919 (I36),5887 (H47),4910 (G52)
Qualification 90,3635 (H26),7635 (I35),4087 (I26),7451 (H31),6838 (I31),1899 (H32)
Qualification 91,2992 (H29),2976 (I45),3663 (I30),2441 (H45),3794 (G26),6988 (H43)
Qualification 92,2158 (G46),7433 (H49),4043 (G28),744 (H44),3946 (G48),6704 (I38)
Qualification 93,3824 (H41),2357 (I47),1671 (I33),7443 (H52),1477 (H36),6064 (I34)
Qualification 94,7787 (I41),4013 (I28),6485 (H35),59 (I44),5803 (I42),6885 (I37)
Qualification 95,5700 (G38),3635 (H26),1987 (H42),7447 (I25),2122 (H33),2710 (I51)
Qualification 96,2438 (I32),6907 (H37),2992 (H29),4020 (G36),4087 (I26),4063 (I40)
Qualification 97,3794 (G26),691 (H48),1425 (I52),4192 (G32),832 (G50),3476 (H28)
Qualification 98,2976 (I45),5887 (H47),6814 (I49),7121 (G42),6838 (I31),2046 (G34)
Qualification 99,2714 (I27),6919 (I36),7451 (H31),7607 (G30),7461 (H30),6506 (H34)
Qualification 100,4910 (G52),4499 (H46),2441 (H45),1311 (I48),3616 (I43),6413 (I50)
Qualification 101,7427 (H40),2637 (H25),1899 (H32),5013 (I29),3834 (H50),4550 (H27)
Qualification 102,1072 (H51),5022 (H38),7635 (I35),4183 (G44),3735 (I39),6934 (I46)
Qualification 103,4192 (G32),2122 (H33),7787 (I41),832 (G50),5887 (H47),4020 (G36)
Qualification 104,7461 (H30),3824 (H41),4043 (G28),4087 (I26),2357 (I47),7607 (G30)
Qualification 105,6704 (I38),6064 (I34),2441 (H45),7121 (G42),1425 (I52),6814 (I49)
Qualification 106,6413 (I50),2046 (G34),7451 (H31),2438 (I32),59 (I44),744 (H44)
Qualification 107,3834 (H50),1671 (I33),5803 (I42),6934 (I46),6907 (H37),3663 (I30)
Qualification 108,2710 (I51),6919 (I36),4499 (H46),4183 (G44),4550 (H27),6838 (I31)
Qualification 109,3476 (H28),1311 (I48),3735 (I39),3635 (H26),4063 (I40),6485 (H35)
Qualification 110,7635 (I35),6506 (H34),7427 (H40),691 (H48),4013 (I28),6988 (H43)
Qualification 111,7447 (I25),1072 (H51),2714 (I27),3946 (G48),1899 (H32),6885 (I37)
Qualification 112,5013 (I29),1987 (H42),7443 (H52),2158 (G46),2976 (I45),4910 (G52)
Qualification 113,3616 (I43),7433 (H49),5022 (H38),1477 (H36),3794 (G26),2992 (H29)
Qualification 114,2637 (H25),4192 (G32),3735 (I39),5700 (G38),4087 (I26),5803 (I42)
