,Blue 1,Blue 2,Blue 3,Red 1,Red 2,Red 3
Qualification 28,4590 (B06),379 (D07),3026 (F05),4817 (H07),4145 (H05),7850 (A04)
Qualification 29,1747 (B07),610 (D08),3572 (F06),2576 (G10),4338 (F03),3197 (C08)
Qualification 30,4329 (B10),1285 (E03),2177 (A06),5667 (E07),6909 (F08),6569 (E10)
Qualification 31,1155 (B08),5585 (A02),6964 (F07),341 (C02),7626 (F04),346 (F09)
Qualification 32,4122 (G06),4967 (G09),2626 (D02),3324 (B03),3986 (D01),3620 (G07)
Qualification 33,4939 (F02),5618 (D10),4907 (B02),4476 (E06),333 (B04),1086 (G05)
Qualification 34,7457 (C03),5401 (B09),6328 (C06),7460 (C05),7531 (E04),2168 (A10)
Qualification 35,6569 (E10),4338 (F03),4590 (B06),2451 (B05),4909 (D06),2534 (F10)
Qualification 36,834 (D09),1259 (C07),5667 (E07),1747 (B07),2095 (G01),4817 (H07)
Qualification 37,4145 (H05),548 (F01),5422 (A08),346 (F09),2358 (G02),3313 (C04)
Qualification 38,1153 (C09),5992 (H09),1577 (C01),2576 (G10),4939 (F02),4967 (G09)
Qualification 39,7554 (C10),2626 (D02),7531 (E04),3197 (C08),341 (C02),5618 (D10)
Qualification 40,5401 (B09),1086 (G05),5934 (G03),379 (D07),2177 (A06),3357 (H01)
Qualification 41,6964 (F07),1285 (E03),525 (B01),3986 (D01),333 (B04),7460 (C05)
Qualification 42,1262 (D05),5205 (D03),3026 (F05),977 (E01),7457 (C03),3572 (F06)
Qualification 43,1155 (B08),4907 (B02),4917 (E02),6909 (F08),2168 (A10),3324 (B03)
Qualification 44,27 (E09),7626 (F04),6328 (C06),3620 (G07),229 (D04),4476 (E06)
Qualification 45,1629 (E08),4122 (G06),610 (D08),6574 (G04),7850 (A04),5585 (A02)
Qualification 46,4329 (B10),341 (C02),1577 (C01),203 (G08),4817 (H07),2451 (B05)
Qualification 47,7531 (E04),6569 (E10),2534 (F10),346 (F09),1259 (C07),3357 (H01)
Qualification 48,1747 (B07),2168 (A10),5667 (E07),3026 (F05),6964 (F07),4145 (H05)
Qualification 49,2358 (G02),548 (F01),4476 (E06),4338 (F03),5992 (H09),7460 (C05)
Qualification 50,7554 (C10),5205 (D03),610 (D08),4590 (B06),4907 (B02),2177 (A06)
Qualification 51,525 (B01),4917 (E02),6909 (F08),4967 (G09),203 (G08),5585 (A02)
Qualification 52,3572 (F06),1086 (G05),2095 (G01),2626 (D02),1285 (E03),6574 (G04)
Qualification 53,7457 (C03),3197 (C08),3313 (C04),379 (D07),3324 (B03),7626 (F04)
Qualification 54,5422 (A08),5618 (D10),4329 (B10),4122 (G06),5401 (B09),27 (E09)
Qualification 55,4909 (D06),229 (D04),2576 (G10),333 (B04),1262 (D05),1155 (B08)
Qualification 56,7850 (A04),5934 (G03),977 (E01),4939 (F02),6328 (C06),3986 (D01)
Qualification 57,834 (D09),3620 (G07),341 (C02),1153 (C09),1629 (E08),2177 (A06)
Qualification 58,2451 (B05),5585 (A02),5992 (H09),3357 (H01),7554 (C10),1747 (B07)
Qualification 59,3313 (C04),7460 (C05),5667 (E07),6569 (E10),3572 (F06),5618 (D10)
Qualification 60,379 (D07),4338 (F03),4967 (G09),1155 (B08),2095 (G01),5422 (A08)
Qualification 61,7626 (F04),4122 (G06),548 (F01),1285 (E03),2576 (G10),5401 (B09)
Qualification 62,3324 (B03),2358 (G02),1629 (E08),1262 (D05),4329 (B10),3986 (D01)
Qualification 63,346 (F09),1153 (C09),6909 (F08),1086 (G05),3026 (F05),4909 (D06)
Qualification 64,4145 (H05),6574 (G04),7457 (C03),1259 (C07),6328 (C06),4917 (E02)
Qualification 65,203 (G08),610 (D08),4939 (F02),229 (D04),6964 (F07),2626 (D02)
Qualification 66,834 (D09),2168 (A10),4476 (E06),7850 (A04),2534 (F10),525 (B01)
Qualification 67,977 (E01),7531 (E04),4817 (H07),5934 (G03),4907 (B02),27 (E09)
Qualification 68,4590 (B06),5205 (D03),333 (B04),3197 (C08),1577 (C01),3620 (G07)
Qualification 69,3313 (C04),2095 (G01),5585 (A02),3026 (F05),2576 (G10),2177 (A06)
Qualification 70,2451 (B05),548 (F01),3324 (B03),6964 (F07),6328 (C06),1086 (G05)
Qualification 71,3357 (H01),834 (D09),2626 (D02),2168 (A10),1262 (D05),4338 (F03)
Qualification 72,5618 (D10),3986 (D01),379 (D07),610 (D08),6569 (E10),7626 (F04)
Qualification 73,333 (B04),346 (F09),4329 (B10),977 (E01),4967 (G09),4590 (B06)
Qualification 74,229 (D04),1577 (C01),27 (E09),525 (B01),1153 (C09),3572 (F06)
Qualification 75,5992 (H09),1155 (B08),4122 (G06),4145 (H05),5934 (G03),2534 (F10)
Qualification 76,4909 (D06),4817 (H07),7554 (C10),1285 (E03),4476 (E06),7457 (C03)
Qualification 77,7850 (A04),1259 (C07),341 (C02),3197 (C08),5422 (A08),6909 (F08)
Qualification 78,5667 (E07),7531 (E04),4939 (F02),1629 (E08),4917 (E02),5205 (D03)
Qualification 79,203 (G08),1747 (B07),4907 (B02),5401 (B09),3620 (G07),2358 (G02)
Qualification 80,7460 (C05),346 (F09),379 (D07),6574 (G04),2576 (G10),1577 (C01)
Qualification 81,333 (B04),977 (E01),2095 (G01),3324 (B03),5992 (H09),6569 (E10)
Qualification 82,4817 (H07),1086 (G05),3986 (D01),5585 (A02),2534 (F10),3197 (C08)
Qualification 83,2177 (A06),7626 (F04),4145 (H05),7531 (E04),525 (B01),2451 (B05)
Qualification 84,1747 (B07),4590 (B06),4917 (E02),5422 (A08),5934 (G03),1153 (C09)
Qualification 85,548 (F01),4909 (D06),4939 (F02),3572 (F06),341 (C02),4907 (B02)
Qualification 86,7460 (C05),1155 (B08),229 (D04),1629 (E08),4329 (B10),1259 (C07)
Qualification 87,2168 (A10),4967 (G09),7457 (C03),610 (D08),2358 (G02),27 (E09)
Qualification 88,6574 (G04),3620 (G07),7554 (C10),5667 (E07),1262 (D05),3357 (H01)
Qualification 89,5618 (D10),3026 (F05),203 (G08),6328 (C06),834 (D09),1285 (E03)
Qualification 90,4476 (E06),3313 (C04),4338 (F03),6964 (F07),6909 (F08),4122 (G06)
Qualification 91,5205 (D03),2626 (D02),2451 (B05),7850 (A04),5401 (B09),1155 (B08)
Qualification 92,4939 (F02),1629 (E08),7460 (C05),2095 (G01),3197 (C08),7626 (F04)
Qualification 93,4907 (B02),2576 (G10),346 (F09),4329 (B10),525 (B01),7457 (C03)
Qualification 94,1259 (C07),2177 (A06),5934 (G03),548 (F01),3026 (F05),4967 (G09)
Qualification 95,2168 (A10),4122 (G06),1086 (G05),229 (D04),977 (E01),7554 (C10)
Qualification 96,6569 (E10),5422 (A08),6964 (F07),4817 (H07),5205 (D03),6574 (G04)
Qualification 97,5585 (A02),7531 (E04),5401 (B09),4909 (D06),3313 (C04),834 (D09)
Qualification 98,6909 (F08),5618 (D10),7850 (A04),1577 (C01),1747 (B07),1262 (D05)
Qualification 99,6328 (C06),1153 (C09),333 (B04),2626 (D02),4338 (F03),2358 (G02)
Qualification 100,3572 (F06),3357 (H01),4145 (H05),3324 (B03),203 (G08),4476 (E06)
Qualification 101,27 (E09),5667 (E07),341 (C02),5992 (H09),3986 (D01),4590 (B06)
Qualification 102,2534 (F10),3620 (G07),1285 (E03),610 (D08),4917 (E02),379 (D07)
Qualification 103,6574 (G04),6569 (E10),4939 (F02),7457 (C03),1155 (B08),1747 (B07)
Qualification 104,2358 (G02),1577 (C01),5934 (G03),1086 (G05),7626 (F04),834 (D09)
Qualification 105,548 (F01),7850 (A04),1262 (D05),203 (G08),2095 (G01),7531 (E04)
Qualification 106,4817 (H07),5992 (H09),346 (F09),2177 (A06),5618 (D10),229 (D04)
Qualification 107,1259 (C07),7554 (C10),3313 (C04),610 (D08),2626 (D02),525 (B01)
Qualification 108,2576 (G10),6909 (F08),4590 (B06),3357 (H01),6328 (C06),1629 (E08)
Qualification 109,6964 (F07),3197 (C08),977 (E01),5401 (B09),2534 (F10),1153 (C09)
Qualification 110,4122 (G06),4917 (E02),333 (B04),7460 (C05),27 (E09),3026 (F05)
Qualification 111,4476 (E06),4909 (D06),379 (D07),4967 (G09),2451 (B05),5667 (E07)
Qualification 112,3620 (G07),3572 (F06),5422 (A08),5585 (A02),4329 (B10),2168 (A10)
Qualification 113,4338 (F03),1285 (E03),341 (C02),5205 (D03),3324 (B03),4145 (H05)
Qualification 114,3986 (D01),6574 (G04),3357 (H01),4907 (B02),3313 (C04),229 (D04)
