,Blue 1,Blue 2,Blue 3,Red 1,Red 2,Red 3
Qualification 103,4253 (F44),175 (B44),250 (D48),836 (H41),4143 (E42),245 (B43)
Qualification 104,4381 (H45),3618 (D42),16 (C44),5811 (G45),5501 (F50),3707 (G49)
Qualification 105,3604 (F48),2771 (C48),353 (G47),2337 (C42),88 (D50),3146 (C49)
Qualification 106,503 (C47),1781 (A50),2830 (B47),3044 (G48),3542 (E47),1923 (C43)
Qualification 107,3555 (F49),236 (E43),7480 (H43),449 (D41),7673 (G42),1792 (F46)
Qualification 108,7462 (D44),191 (G43),125 (F47),5348 (D45),5084 (D46),6806 (G50)
Qualification 109,1058 (G41),1024 (E50),7885 (F41),1918 (B42),3667 (G44),7651 (D47)
Qualification 110,2502 (E45),771 (E46),4481 (E49),1218 (G46),6401 (H49),2265 (F42)
Qualification 111,3624 (F43),365 (A42),5567 (E48),51 (B49),2791 (C45),103 (E44)
Qualification 112,1690 (F45),2500 (B48),217 (B45),868 (D49),3381 (B50),3926 (A46)
Qualification 113,225 (A48),5951 (C41),772 (D43),190 (H47),7719 (B46),1317 (A44)
Qualification 114,1676 (B41),1918 (B42),2830 (B47),5943 (C46),125 (F47),250 (D48)
