Description,Blue 1,Blue 2,Blue 3,Red 1,Red 2,Red 3
Qualification 87,4534 (D41),2080 (C30),7796 (A43),4775 (C46),7725 (B23),5892 (C26)
Qualification 88,2905 (C29),4400 (A44),1261 (B32),2584 (C44),1939 (B36),4561 (C23)
Qualification 89,7767 (D23),5006 (A35),1339 (A42),4255 (C24),442 (A30),7426 (C42)
Qualification 90,7891 (C34),2881 (B28),3931 (C38),6608 (D35),386 (A27),2662 (D43)
Qualification 91,7179 (C31),5572 (B44),330 (B27),7088 (D29),5526 (D39),3792 (B40)
Qualification 92,4290 (A41),4079 (A39),2375 (A33),3024 (B29),1678 (A26),6014 (A37)
Qualification 93,364 (B24),3132 (A36),4561 (C23),5515 (B25),1515 (D31),2486 (D33)
Qualification 94,687 (A29),3240 (B30),4534 (D41),7895 (C33),2643 (B42),442 (A30)
Qualification 95,2990 (A28),118 (C36),386 (A27),2147 (B26),4400 (A44),7767 (D23)
Qualification 96,7567 (A34),2811 (A24),5526 (D39),368 (B34),2080 (C30),4188 (B33)
Qualification 97,4255 (C24),587 (C25),7796 (A43),2183 (B31),2662 (D43),1261 (B32)
Qualification 98,7108 (A38),7426 (C42),6443 (A23),7891 (C34),2905 (C29),2102 (C28)
Qualification 99,3931 (C38),5126 (A25),5572 (B44),5242 (D27),5892 (C26),7529 (A32)
Qualification 100,5006 (A35),6608 (D35),1746 (B38),3039 (C27),7725 (B23),1939 (B36)
Qualification 101,7419 (C32),7088 (D29),1785 (A31),3309 (D25),6390 (A40),2584 (C44)
Qualification 102,1339 (A42),7179 (C31),4775 (C46),4911 (D37),3481 (C40),2881 (B28)
Qualification 103,7796 (A43),3792 (B40),7108 (A38),442 (A30),386 (A27),6014 (A37)
Qualification 104,4255 (C24),3024 (B29),5242 (D27),364 (B24),1515 (D31),330 (B27)
Qualification 105,2990 (A28),2905 (C29),2643 (B42),2375 (A33),2811 (A24),5126 (A25)
Qualification 106,4534 (D41),4188 (B33),7088 (D29),3931 (C38),6443 (A23),2486 (D33)
Qualification 107,2080 (C30),6608 (D35),1339 (A42),587 (C25),4290 (A41),7895 (C33)
Qualification 108,7419 (C32),4775 (C46),1261 (B32),2147 (B26),2102 (C28),2183 (B31)
Qualification 109,7529 (A32),7567 (A34),1939 (B36),2662 (D43),3309 (D25),5515 (B25)
Qualification 110,7767 (D23),5526 (D39),1678 (A26),3481 (C40),6390 (A40),687 (A29)
Qualification 111,7891 (C34),3039 (C27),7179 (C31),3240 (B30),4561 (C23),5572 (B44)
Qualification 112,5892 (C26),4911 (D37),4400 (A44),1785 (A31),5006 (A35),4079 (A39)
Qualification 113,7725 (B23),118 (C36),368 (B34),7426 (C42),2584 (C44),2881 (B28)
Qualification 114,3132 (A36),1261 (B32),386 (A27),1746 (B38),2643 (B42),3024 (B29)
